TÌtulo;Autor;ISBN;ISBN13;Rating;Formato;Numero de Paginas;Ano publicacao original;Data Inicio;Data TÈrmino; Coluna1 ;Idioma;Status;Carregado
O Sono Eterno (Philip Marlowe, #1);Raymond Chandler;"=""8579623952""";"=""9788579623950""";30;Livro FÌsico;256;1939;12/01/2022;15/01/2022; 3 ;PortuguÍs;lido;
A Garota do Lago;Charlie Donlea;"=""856240988X""";"=""9788562409882""";30;Livro FÌsico;296;2016;08/01/2022;12/01/2022; 4 ;PortuguÍs;lido;
Mulheres Empilhadas;PatrÌcia Melo;"=""8577346889""";"=""9788577346882""";30;Livro FÌsico;240;2019;02/01/2022;08/01/2022; 6 ;PortuguÍs;lido;
Agosto;Rubem Fonseca;"=""""";"=""9788520938065""";50;Livro FÌsico;368;1990;31/12/2021;02/01/2022; 2 ;PortuguÍs;lido;
A ˙ltima noite do mundo;C.S. Lewis;"=""8578607597""";"=""9788578607593""";30;Livro FÌsico;144;1960;30/12/2021;31/12/2021; 1 ;PortuguÍs;lido;
Celular;Stephen  King;"=""8556510723""";"=""9788556510723""";30;Livro FÌsico;384;2006;26/12/2021;30/12/2021; 4 ;PortuguÍs;lido;
Uma Mulher na Escurid„o;Charlie Donlea;"=""8595810729""";"=""9788595810723""";30;Livro FÌsico;304;2019;23/12/2021;26/12/2021; 3 ;PortuguÍs;lido;
Querido John;Nicholas Sparks;"=""8563219022""";"=""9788563219022""";30;Livro FÌsico;287;2006;19/12/2021;23/12/2021; 4 ;PortuguÍs;lido;
Tenda dos Milagres;Jorge Amado;"=""8535912908""";"=""9788535912906""";20;Livro FÌsico;320;1969;07/12/2021;19/12/2021; 12 ;PortuguÍs;lido;
Robinson CrusoÈ;Daniel Defoe;"=""8563560417""";"=""9788563560414""";50;Livro FÌsico;408;1719;03/12/2021;07/12/2021; 4 ;PortuguÍs;lido;
Uma mulher no escuro;Raphael Montes;"=""8535931767""";"=""9788535931761""";40;Livro FÌsico;256;2019;28/11/2021;03/12/2021; 5 ;PortuguÍs;lido;
Time and Again (Time, #1);Jack Finney;"=""0575093153""";"=""""";30;Kindle;393;1970;16/11/2021;28/11/2021; 12 ;PortuguÍs;lido;
A Noite dos Tempos;RenÈ Barjavel;"=""""";"=""""";30;Livro FÌsico;186;1968;15/11/2021;16/11/2021; 1 ;PortuguÍs;lido;
A Psicologia da Estupidez;Jean-FranÁois Marmion;"=""6586041589""";"=""9786586041583""";30;Livro FÌsico;320;2019;02/11/2021;15/11/2021; 13 ;PortuguÍs;lido;
11/22/63;Stephen  King;"=""1451627300""";"=""9781451627305""";50;Kindle;864;2011;12/10/2021;02/11/2021; 21 ;PortuguÍs;lido;
A Morte e a morte de Quincas Berro D¥¡gua;Jorge Amado;"=""8535911839""";"=""9788535911831""";50;Livro FÌsico;120;1959;15/09/2021;12/10/2021; 27 ;PortuguÍs;lido;
√Ä Primeira Vista;Nicholas Sparks;"=""858041055X""";"=""9788580410556""";20;Livro FÌsico;256;2006;11/09/2021;15/09/2021; 4 ;PortuguÍs;lido;
Com Sangue (Holly Gibney, #2);Stephen  King;"=""8556510973""";"=""9788556510976""";30;Livro FÌsico;400;2020;29/08/2021;11/09/2021; 13 ;PortuguÍs;lido;
O Advogado;John Grisham;"=""853250891X""";"=""""";30;Livro FÌsico;352;1998;25/08/2021;29/08/2021; 4 ;PortuguÍs;lido;
Tieta do Agreste;Jorge Amado;"=""9722017985""";"=""9789722017985""";40;;659;1977;11/08/2021;25/08/2021; 14 ;PortuguÍs;lido;
Depois;Stephen  King;"=""8556511120""";"=""9788556511126""";40;Livro FÌsico;192;2021;09/08/2021;11/08/2021; 2 ;PortuguÍs;lido;
Capit„es da Areia;Jorge Amado;"=""""";"=""""";50;Livro FÌsico;283;1937;04/08/2021;09/08/2021; 5 ;PortuguÍs;lido;
Escravid„o Volume 2: Da corrida do ouro em Minas Gerais atÈ a chegada da corte de Dom Jo„o ao Brasil;Laurentino Gomes;"=""6555670398""";"=""9786555670394""";50;Livro FÌsico;512;2021;12/07/2021;04/08/2021; 23 ;PortuguÍs;lido;
Pastoral americana (The American Trilogy, #1);Philip Roth;"=""8571648522""";"=""9788571648524""";30;Livro FÌsico;480;1997;19/06/2021;12/07/2021; 23 ;PortuguÍs;lido;
A queda;Albert Camus;"=""6555871261""";"=""9786555871265""";20;Livro FÌsico;152;1956;13/06/2021;19/06/2021; 6 ;PortuguÍs;lido;
A peste;Albert Camus;"=""6555871253""";"=""9786555871258""";30;Livro FÌsico;424;1947;03/06/2021;13/06/2021; 10 ;PortuguÍs;lido;
O mito de SÌsifo;Albert Camus;"=""6555871245""";"=""9786555871241""";20;Livro FÌsico;224;1942;23/05/2021;03/06/2021; 11 ;PortuguÍs;lido;
O estrangeiro;Albert Camus;"=""6555871237""";"=""9786555871234""";40;Livro FÌsico;176;1942;23/05/2021;23/05/2021; -   ;PortuguÍs;lido;
SÈries - O livro: De onde vieram e como s„o feitas;Jacqueline Cantore;"=""8547001220""";"=""9788547001223""";30;Livro FÌsico;232;2021;20/05/2021;23/05/2021; 3 ;PortuguÍs;lido;
Misery;Stephen  King;"=""""";"=""""";40;Livro FÌsico;326;1987;15/05/2021;20/05/2021; 5 ;PortuguÍs;lido;N„o
O Casamento (Di·rio de uma paix„o, #2);Nicholas Sparks;"=""8580410568""";"=""9788580410563""";30;Livro FÌsico;224;2003;10/05/2021;15/05/2021; 5 ;PortuguÍs;lido;
A ascens„o de Atenas: A histÛria da maior civilizaÁ„o do mundo;Anthony Everitt;"=""8542217543""";"=""9788542217544""";20;Livro FÌsico;488;2016;14/04/2021;10/05/2021; 26 ;PortuguÍs;lido;
A Dama das CamÈlias;Alexandre Dumas fils;"=""8544000169""";"=""9788544000168""";30;Livro FÌsico;242;1848;10/04/2021;14/04/2021; 4 ;PortuguÍs;lido;
O Milagre;Nicholas Sparks;"=""8520924824""";"=""9788520924822""";30;Livro FÌsico;238;2003;06/04/2021;10/04/2021; 4 ;PortuguÍs;lido;
12 LiÁıes da HistÛria. Para Entender o Mundo;Will Durant;"=""8595810184""";"=""9788595810181""";30;Livro FÌsico;128;1968;05/04/2021;06/04/2021; 1 ;PortuguÍs;lido;
Sleeping Beauties;Stephen  King;"=""1473665213""";"=""9781473665217""";20;Kindle;736;2017;18/03/2021;05/04/2021; 18 ;PortuguÍs;lido;
Outsider (Holly Gibney, #1);Stephen  King;"=""8556510671""";"=""9788556510679""";40;Livro FÌsico;528;2018;13/03/2021;18/03/2021; 5 ;PortuguÍs;lido;
Di·rio de Uma Paix„o;Nicholas Sparks;"=""""";"=""9788563219206""";30;Livro FÌsico;244;1996;13/03/2021;13/03/2021; -   ;PortuguÍs;lido;
O Nome da Rosa;Umberto Eco;"=""8577991261""";"=""9788577991266""";30;Livro FÌsico;592;1980;02/03/2021;13/03/2021; 11 ;PortuguÍs;lido;
Acerto de contas;John Grisham;"=""""";"=""""";30;Livro FÌsico;448;2018;25/02/2021;02/03/2021; 5 ;PortuguÍs;lido;
Dolores Claiborne;Stephen  King;"=""150114118X""";"=""9781501141188""";40;Kindle;400;1992;18/02/2021;25/02/2021; 7 ;PortuguÍs;lido;
Gabriela, cravo e canela;Jorge Amado;"=""8535920986""";"=""9788535920987""";50;Livro FÌsico;336;1958;08/02/2021;18/02/2021; 10 ;PortuguÍs;lido;
ComplÙ Contra a AmÈrica;Philip Roth;"=""8535925430""";"=""9788535925432""";40;Livro FÌsico;440;2004;31/01/2021;08/02/2021; 8 ;PortuguÍs;lido;
1789 - A histÛria de Tiradentes, contrabandistas, assassinos e poetas que sonharam a IndependÍncia do Brasil;Pedro Doria;"=""""";"=""""";40;Kindle;244;2014;30/01/2021;31/01/2021; 1 ;PortuguÍs;lido;
O Instituto;Stephen  King;"=""855651085X""";"=""9788556510853""";50;Livro FÌsico;544;2019;22/01/2021;30/01/2021; 8 ;PortuguÍs;lido;
O PrÌncipe;Niccol√≤ Machiavelli;"=""8532641857""";"=""9788532641854""";30;Livro FÌsico;120;1513;15/01/2021;22/01/2021; 7 ;PortuguÍs;lido;
As Neves do Kilimanjaro e Outros Contos;Ernest Hemingway;"=""8577992470""";"=""9788577992478""";20;Livro FÌsico;176;1936;05/01/2021;15/01/2021; 10 ;PortuguÍs;lido;
O Velho e o Mar;Ernest Hemingway;"=""8577992969""";"=""9788577992966""";40;Livro FÌsico;112;1952;03/01/2021;05/01/2021; 2 ;PortuguÍs;lido;
Vox;Christina Dalcher;"=""8580418895""";"=""9788580418897""";30;Livro FÌsico;320;2018;01/01/2021;03/01/2021; 2 ;PortuguÍs;lido;
O Leitor do Trem das 6h27;Jean-Paul Didierlaurent;"=""8580577918""";"=""9788580577914""";40;Livro FÌsico;176;2014;31/12/2020;01/01/2021; 1 ;PortuguÍs;lido;
Leonardo da Vinci;Walter Isaacson;"=""8551002570""";"=""9788551002575""";50;Livro FÌsico;640;2017;22/12/2020;31/12/2020; 9 ;PortuguÍs;lido;
O Caso dos Exploradores de Cavernas;Lon L. Fuller;"=""8520937438""";"=""9788520937433""";30;Livro FÌsico;128;1949;22/12/2020;22/12/2020; -   ;PortuguÍs;lido;
Sidarta;Hermann Hesse;"=""8577994120""";"=""9788577994120""";30;Livro FÌsico;144;1922;19/12/2020;22/12/2020; 3 ;PortuguÍs;lido;
O Tribunal da Quinta-Feira;Michel Laub;"=""8535928324""";"=""9788535928327""";30;Livro FÌsico;184;2016;17/12/2020;19/12/2020; 2 ;PortuguÍs;lido;
Tem um livro aqui que vocÍ vai gostar ;Antonio Fagundes;"=""6555641029""";"=""9786555641028""";40;Kindle;255;2020;15/12/2020;17/12/2020; 2 ;PortuguÍs;lido;
Os RobÙs da Alvorada;Isaac Asimov;"=""""";"=""""";50;Kindle;544;1983;21/11/2020;15/12/2020; 24 ;PortuguÍs;lido;
O Sol Desvelado;Isaac Asimov;"=""8576571668""";"=""9788576571667""";50;Livro FÌsico;288;1958;08/11/2020;21/11/2020; 13 ;PortuguÍs;lido;
As Cavernas de AÁo;Isaac Asimov;"=""8576571501""";"=""9788576571506""";40;Livro FÌsico;304;1953;12/10/2020;08/11/2020; 27 ;PortuguÍs;lido;
Dinheiro: Os Segredos de Quem Tem;Gustavo Cerbasi;"=""8543103169""";"=""9788543103167""";30;Livro FÌsico;160;2005;12/10/2020;12/10/2020; -   ;PortuguÍs;lido;
Por que nÛs dormimos: a nova ciÍncia do sono e do sonho;Matthew Walker;"=""8551003658""";"=""9788551003657""";40;Livro FÌsico;400;2017;12/09/2020;12/10/2020; 30 ;PortuguÍs;lido;
Camino Island;John Grisham;"=""1473663725""";"=""9781473663725""";30;Livro FÌsico;290;2017;07/09/2020;12/09/2020; 5 ;PortuguÍs;lido;
O Livro da Economia;Niall Kishtainy;"=""8525067210""";"=""9788525067210""";30;Livro FÌsico;352;2012;23/08/2020;07/09/2020; 15 ;PortuguÍs;lido;
Pequeno Manual Antirracista;Djamila Ribeiro;"=""8535932879""";"=""9788535932874""";30;Livro FÌsico;136;2019;16/08/2020;23/08/2020; 7 ;PortuguÍs;lido;
Empreendedores Inteligentes Enriquecem Mais;Gustavo Cerbasi;"=""8543104122""";"=""9788543104126""";30;Livro FÌsico;208;2016;08/08/2020;16/08/2020; 8 ;PortuguÍs;lido;
Investimentos inteligentes - EdiÁ„o revista e atualizada: EstratÈgias para multiplicar seu patrimÙnio com seguranÁa e eficiÍncia ;Gustavo Cerbasi;"=""857542999X""";"=""9788575429990""";30;Kindle;350;2008;31/07/2020;08/08/2020; 8 ;PortuguÍs;lido;
Bloomberg by Bloomberg;Michael R. Bloomberg;"=""0471155454""";"=""9780471155454""";40;Livro FÌsico;272;1997;22/07/2020;31/07/2020; 9 ;PortuguÍs;lido;
The Girl Who Loved Tom Gordon;Stephen  King;"=""1416524290""";"=""9781416524298""";40;Livro FÌsico;264;1999;19/07/2020;22/07/2020; 3 ;PortuguÍs;lido;
Pedras no Ch„o;M·rcio Santos;"=""6599088309""";"=""9786599088308""";40;Livro FÌsico;135;2017;17/07/2020;19/07/2020; 2 ;PortuguÍs;lido;
O Fim da Eternidade;Isaac Asimov;"=""8576574225""";"=""9788576574224""";40;Livro FÌsico;256;1955;14/07/2020;17/07/2020; 3 ;PortuguÍs;lido;
O Vermelho e o Negro;Stendhal;"=""8513011207""";"=""9788513011201""";30;Livro FÌsico;510;1830;28/06/2020;14/07/2020; 16 ;PortuguÍs;lido;
O Teste Da M„e: Como Conversar Com Clientes E Descobrir Se Sua Ideia ÔøΩ Boa, Mesmo Com Todos Mentindo Para VocÔøΩ;Rob  Fitzpatrick;"=""1093693460""";"=""9781093693461""";40;Livro FÌsico;154;2013;20/06/2020;28/06/2020; 8 ;PortuguÍs;lido;
Curso de Fotografia de Retrato - Fundamentos, tÈcnica e pr·tica;Mark Jenkinson;"=""8579601460""";"=""9788579601460""";30;Livro FÌsico;224;2012;08/06/2020;20/06/2020; 12 ;PortuguÍs;lido;
Fotografia - Um guia para ser fotÛgrafo em um mundo onde todos fotografam;Daniela Agostini;"=""8539627957""";"=""9788539627950""";30;Livro FÌsico;341;2019;07/06/2020;08/06/2020; 1 ;PortuguÍs;lido;
o Advogado Rebelde;John Grisham;"=""8532530419""";"=""9788532530417""";40;Livro FÌsico;398;2015;31/05/2020;07/06/2020; 7 ;PortuguÍs;lido;
JustiÁa a Qualquer PreÁo;John Grisham;"=""8580418917""";"=""9788580418910""";30;Livro FÌsico;336;2017;27/05/2020;31/05/2020; 4 ;PortuguÍs;lido;
Manifesto do Partido Comunista;Friedrich Engels;"=""857283902X""";"=""9788572839020""";20;Livro FÌsico;92;1848;25/05/2020;27/05/2020; 2 ;PortuguÍs;lido;
It;Stephen  King;"=""1501182099""";"=""9781501182099""";30;Livro FÌsico;1156;1986;05/04/2020;25/05/2020; 50 ;PortuguÍs;lido;
Escravid„o: Do primeiro leil„o de cativos em Portugal atÈ a morte de Zumbi dos Palmares;Laurentino Gomes;"=""6580634014""";"=""9786580634019""";50;Livro FÌsico;504;2019;28/03/2020;05/04/2020; 8 ;PortuguÍs;lido;
Night Shift;Stephen  King;"=""0307743640""";"=""9780307743640""";40;Livro FÌsico;505;1978;24/02/2020;28/03/2020; 33 ;PortuguÍs;lido;
Enterrem meu CoraÁ„o na Curva do Rio;Dee Brown;"=""8525412937""";"=""9788525412935""";30;Livro FÌsico;390;1970;10/02/2020;24/02/2020; 14 ;PortuguÍs;lido;
Aventuras de Sherlock Holmes;Arthur Conan Doyle;"=""9684324278""";"=""9789684324275""";40;Livro FÌsico;299;1892;24/11/2019;10/02/2020; 78 ;PortuguÍs;lido;
Value Proposition Design: Como Construir Propostas de Valor Inovadoras;Alexander Osterwalder;"=""8550807257""";"=""9788550807256""";40;Livro FÌsico;320;2013;24/11/2019;24/11/2019; -   ;PortuguÍs;lido;
Digital Photography Essentials: A Practical and Inspiring Guide That Will Take You from Beginner to Confident, C;Tom Ang;"=""0756682142""";"=""9780756682149""";30;Livro FÌsico;360;2011;07/11/2019;24/11/2019; 17 ;PortuguÍs;lido;
A histÛria da ciÍncia para quem tem pressa: De Galileu a Stephen Hawking em 200 p·ginas! (SÈrie Para quem Tem Pressa) ;Nicola Chalton;"=""855889048X""";"=""9788558890489""";40;Kindle;202;2015;18/10/2019;07/11/2019; 20 ;PortuguÍs;lido;
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking;Foster Provost;"=""1449361323""";"=""9781449361327""";30;Livro FÌsico;413;2013;16/10/2019;18/10/2019; 2 ;PortuguÍs;lido;
Cont·gio: Por que as coisas pegam;Jonah Berger;"=""8580449944""";"=""9788580449945""";40;Livro FÌsico;224;2013;28/09/2019;16/10/2019; 18 ;PortuguÍs;lido;
The Top 85 Mistakes Brazilians Make In English;Andrew Creelman;"=""""";"=""""";30;Kindle;101;2015;25/09/2019;28/09/2019; 3 ;PortuguÍs;lido;
Memorial do convento;JosÈ Saramago;"=""852860022X""";"=""9788528600223""";30;Livro FÌsico;353;1982;25/08/2019;25/09/2019; 31 ;PortuguÍs;lido;
Mindset: A Nova Psicologia do Sucesso;Carol S. Dweck;"=""8547000240""";"=""9788547000240""";40;Livro FÌsico;312;2006;09/08/2019;25/08/2019; 16 ;PortuguÍs;lido;
HistÛrias de Sherlock Holmes;Arthur Conan Doyle;"=""9722534076""";"=""9789722534079""";40;Livro FÌsico;320;1904;06/08/2019;09/08/2019; 3 ;PortuguÍs;lido;
Os ⁄ltimos Casos de Sherlock Holmes;Arthur Conan Doyle;"=""9721027863""";"=""9789721027862""";40;Livro FÌsico;193;1927;02/08/2019;06/08/2019; 4 ;PortuguÍs;lido;
O vale do medo (Sherlock Holmes, #7);Arthur Conan Doyle;"=""8537815047""";"=""9788537815045""";30;Kindle;252;1914;26/07/2019;02/08/2019; 7 ;PortuguÍs;lido;
Kanban: Successful Evolutionary Change for Your Technology Business;David J. Anderson;"=""0984521402""";"=""9780984521401""";30;Livro FÌsico;262;2010;22/07/2019;26/07/2019; 4 ;PortuguÍs;lido;
The Flash Book: How to fall hopelessly in love with your flash, and finally start taking the type of images you bought it for in the first place (The Photography Book Book 6);Scott Kelby;"=""""";"=""""";30;Kindle;211;2007;17/07/2019;22/07/2019; 5 ;PortuguÍs;lido;
From a Buick 8;Stephen  King;"=""0743417682""";"=""9780743417686""";20;Livro FÌsico;487;2002;05/07/2019;17/07/2019; 12 ;PortuguÍs;lido;
Building Microservices: Designing Fine-Grained Systems;Sam Newman;"=""1491950358""";"=""9781491950357""";30;Livro FÌsico;473;2014;17/06/2019;05/07/2019; 18 ;PortuguÍs;lido;
Migrating to Microservice Databases;Edson Yanaga;"=""1491974613""";"=""9781491974612""";30;Kindle;72;2017;16/06/2019;17/06/2019; 1 ;PortuguÍs;lido;
TransformaÁ„o digital: Repensando o seu negÛcio para a era digital;David L. Rogers;"=""8551302736""";"=""9788551302736""";40;Kindle;440;2016;04/06/2019;16/06/2019; 12 ;PortuguÍs;lido;
Design Thinking;Tim    Brown;"=""8550801348""";"=""9788550801346""";30;Livro FÌsico;272;2009;24/05/2019;04/06/2019; 11 ;PortuguÍs;lido;
O C„o dos Baskerville;Arthur Conan Doyle;"=""""";"=""""";40;Kindle;149;1902;26/04/2019;24/05/2019; 28 ;PortuguÍs;lido;
A Volta De Sherlock Holmes;Arthur Conan Doyle;"=""8506066786""";"=""9788506066782""";40;Livro FÌsico;452;1904;11/04/2019;26/04/2019; 15 ;PortuguÍs;lido;
As memÛrias de Sherlock Holmes #2;Arthur Conan Doyle;"=""""";"=""""";40;Livro FÌsico;495;1894;05/04/2019;11/04/2019; 6 ;PortuguÍs;lido;
Os Trabalhadores do Mar;Victor Hugo;"=""851301088X""";"=""9788513010884""";20;Livro FÌsico;366;1866;27/03/2019;05/04/2019; 9 ;PortuguÍs;lido;
Adeus, Aposentadoria: Como Garantir Seu Futuro Sem Depender dos Outros;Gustavo Cerbasi;"=""8543100976""";"=""9788543100975""";20;Livro FÌsico;160;2014;26/03/2019;27/03/2019; 1 ;PortuguÍs;lido;
'Salem's Lot;Stephen  King;"=""""";"=""""";30;Livro FÌsico;653;1975;18/03/2019;26/03/2019; 8 ;PortuguÍs;lido;
Um mundo que mudou;Danielle Steel;"=""""";"=""""";30;Livro FÌsico;349;1983;15/03/2019;18/03/2019; 3 ;PortuguÍs;lido;
Way of the Turtle: The Secret Methods That Turned Ordinary People Into Legendary Traders;Curtis Faith;"=""007148664X""";"=""9780071486644""";20;Livro FÌsico;288;2007;10/03/2019;15/03/2019; 5 ;PortuguÍs;lido;
Neandertal, nosso irm„o: Uma breve histÛria do homem ;Silvana Condemi;"=""8582864507""";"=""9788582864500""";30;Kindle;245;2016;06/03/2019;10/03/2019; 4 ;PortuguÍs;lido;
The Whistler: A Novel;John Grisham;"=""""";"=""""";30;Livro FÌsico;424;2016;03/03/2019;06/03/2019; 3 ;PortuguÍs;lido;
O lado difÌcil das situaÁıes difÌceis: Como construir um negÛcio quando n„o existem respostas prontas ;Ben Horowitz;"=""8546900000""";"=""9788546900008""";30;Kindle;368;2014;03/02/2019;03/03/2019; 28 ;PortuguÍs;lido;
Os Segredos Da Mente Milion·ria;T Harv Eker;"=""8575422391""";"=""9788575422397""";20;Livro FÌsico;176;2005;19/02/2019;23/02/2019; 4 ;PortuguÍs;lido;
O Signo dos Quatro;Arthur Conan Doyle;"=""9895545665""";"=""9789895545667""";40;Livro FÌsico;119;1890;11/02/2019;15/02/2019; 4 ;PortuguÍs;lido;
Um estudo em vermelho (Sherlock Holmes Livro 1) ;Arthur Conan Doyle;"=""8506071224""";"=""9788506071229""";40;Kindle;132;1887;07/02/2019;11/02/2019; 4 ;PortuguÍs;lido;
Lean Change Management: Innovative Practices for Managing Organizational Changes;Jason Little;"=""0990466507""";"=""9780990466505""";20;Livro FÌsico;180;2013;07/02/2019;07/02/2019; -   ;PortuguÍs;lido;
Mauricio: A HistÛria que n„o Est· no Gibi;Mauricio de Sousa;"=""8568377149""";"=""9788568377147""";40;Livro FÌsico;336;2017;03/02/2019;07/02/2019; 4 ;PortuguÍs;lido;
Big Stone Gap (Big Stone Gap, #1);adriana-trigiani;"=""0743440129""";"=""9780743440127""";30;Livro FÌsico;400;2000;26/01/2019;03/02/2019; 8 ;PortuguÍs;lido;
A Segunda VitÛria;Morris L. West;"=""""";"=""""";30;Livro FÌsico;271;1958;21/01/2019;26/01/2019; 5 ;PortuguÍs;lido;
Por Que Fazemos O Que Fazemos?: AfliÁıes Vitais Sobre Trabalho, Carreira e RealizaÁ„o;Mario Sergio Cortella;"=""8542207416""";"=""9788542207415""";40;Livro FÌsico;174;2016;15/01/2019;21/01/2019; 6 ;PortuguÍs;lido;
21 LiÁıes Para o SÈculo 21;Yuval Noah Harari;"=""""";"=""""";30;Kindle;357;2018;06/01/2019;15/01/2019; 9 ;PortuguÍs;lido;
Aprenda a investir em aÁıes e a operar na bolsa via internet;Carlos A H Brum;"=""""";"=""""";20;Livro FÌsico;185;2007;01/06/2018;06/01/2019; 219 ;PortuguÍs;lido;
Pet Sematary;Stephen  King;"=""""";"=""""";30;Kindle;561;1983;30/12/2018;05/01/2019; 6 ;PortuguÍs;lido;
PMO ¡gil: EscritÛrio √Ågil de Gerenciamento de Projetos ;Fabio Cruz;"=""8574527912""";"=""9788574527918""";30;Kindle;639;2017;26/12/2018;30/12/2018; 4 ;PortuguÍs;lido;
CaleidoscÛpio;Danielle Steel;"=""8501034452""";"=""9788501034458""";40;Livro FÌsico;334;1987;24/12/2018;26/12/2018; 2 ;PortuguÍs;lido;
A History of the Twentieth Century: The Concise Edition of the Acclaimed World History ‚Äì A Vivid Year-by-Year Record of Wars and Technology from Aviation to Computers;Martin  Gilbert;"=""006050594X""";"=""9780060505943""";30;Livro FÌsico;832;1989;25/11/2018;24/12/2018; 29 ;PortuguÍs;lido;
Um Pedido ‡s Estrelas;Priscille Sibley;"=""8582400586""";"=""9788582400586""";30;Livro FÌsico;320;2013;20/11/2018;24/11/2018; 4 ;PortuguÍs;lido;
Armas, Germes e AÁo: Os Destinos das Sociedades Humanas;Jared Diamond;"=""8501110019""";"=""9788501110015""";30;Livro FÌsico;476;1997;14/11/2018;20/11/2018; 6 ;PortuguÍs;lido;
Estrada Aberta;S·vio Brayner;"=""9895174500""";"=""9789895174508""";30;Livro FÌsico;402;2016;11/11/2018;14/11/2018; 3 ;PortuguÍs;lido;
The Runaway Jury;John Grisham;"=""""";"=""""";40;Livro FÌsico;550;1996;02/11/2018;11/11/2018; 9 ;PortuguÍs;lido;
Mentes geniais ;Alberto Dell'Isolla;"=""8550302732""";"=""9788550302737""";30;Livro FÌsico;322;2012;30/10/2018;02/11/2018; 3 ;PortuguÍs;lido;
Carrie;Stephen  King;"=""0307743667""";"=""9780307743664""";40;Livro FÌsico;290;1974;23/10/2018;30/10/2018; 7 ;PortuguÍs;lido;
Contato;Carl Sagan;"=""8535913513""";"=""9788535913514""";40;Livro FÌsico;440;1985;14/10/2018;23/10/2018; 9 ;PortuguÍs;lido;
DevOps for Dummies;Sanjeev Sharma;"=""111873470X""";"=""9781118734704""";30;Livro FÌsico;40;2014;13/10/2018;14/10/2018; 1 ;PortuguÍs;lido;
Leaders Eat Last: Why Some Teams Pull Together and Others Don't;Simon Sinek;"=""1591845327""";"=""9781591845324""";40;Livro FÌsico;350;2014;04/10/2018;13/10/2018; 9 ;PortuguÍs;lido;
Questıes do coraÁ„o;Emily Giffin;"=""8563219316""";"=""9788563219312""";30;Livro FÌsico;438;2010;28/09/2018;04/10/2018; 6 ;PortuguÍs;lido;
O Enigma do Tempo: A revoluÁ„o iniciada por Einstein;Paul C.W. Davies;"=""8500330503""";"=""""";30;Livro FÌsico;411;1995;18/09/2018;28/09/2018; 10 ;PortuguÍs;lido;
Ansiedade - Como Enfrentar o Mal do SÈculo;Augusto Cury;"=""8502218484""";"=""9788502218482""";30;Livro FÌsico;160;2013;16/09/2018;18/09/2018; 2 ;PortuguÍs;lido;
Um Homem de Sorte;Nicholas Sparks;"=""""";"=""""";30;Livro FÌsico;349;2008;10/09/2018;16/09/2018; 6 ;PortuguÍs;lido;
A Painted House;John Grisham;"=""034553204X""";"=""9780345532046""";40;Livro FÌsico;465;2001;16/08/2018;09/09/2018; 24 ;PortuguÍs;lido;
Noites de Tormenta;Nicholas Sparks;"=""8599560514""";"=""9788599560518""";30;Livro FÌsico;173;2002;14/08/2018;16/08/2018; 2 ;PortuguÍs;lido;
A ⁄ltima EsperanÁa;Frank G. Slaughter;"=""""";"=""""";30;Livro FÌsico;330;1958;04/08/2018;14/08/2018; 10 ;PortuguÍs;lido;
O Leopardo;Giuseppe Tomasi di Lampedusa;"=""""";"=""""";30;Livro FÌsico;320;1958;01/08/2018;04/08/2018; 3 ;PortuguÍs;lido;
O Morro dos Ventos Uivantes;Emily Bront√´;"=""8513011231""";"=""9788513011232""";40;Livro FÌsico;286;1847;27/07/2018;01/08/2018; 5 ;PortuguÍs;lido;
Lolita;Vladimir Nabokov;"=""""";"=""""";30;Livro FÌsico;319;1955;24/07/2018;27/07/2018; 3 ;PortuguÍs;lido;
Para Minhas Filhas;Barbara Delinsky;"=""8528605701""";"=""9788528605709""";30;Livro FÌsico;415;1995;20/07/2018;24/07/2018; 4 ;PortuguÍs;lido;
Auschwitz;Laurence Rees;"=""""";"=""""";40;Kindle;418;2005;02/07/2018;20/07/2018; 18 ;PortuguÍs;lido;
O advers·rio secreto;Agatha Christie;"=""852505772X""";"=""9788525057723""";40;Kindle;320;1922;29/06/2018;02/07/2018; 3 ;PortuguÍs;lido;
Bag of Bones;Stephen  King;"=""067102423X""";"=""9780671024239""";30;Livro FÌsico;736;1998;14/06/2018;29/06/2018; 15 ;InglÍs;lido;
Stephen King - CoraÁ„o Assombrado - A Biografia;Lisa Rogak;"=""8594540396""";"=""9788594540393""";50;Livro FÌsico;320;2009;10/06/2018;14/06/2018; 4 ;PortuguÍs;lido;
A Cidade do Sol;Khaled Hosseini;"=""8520920101""";"=""9788520920107""";40;Livro FÌsico;368;2007;08/06/2018;10/06/2018; 2 ;PortuguÍs;lido;
Tocando o Vazio - A histÛria real da miraculosa sobrevivÍncia de um homem;Joe Simpson;"=""8535905533""";"=""9788535905533""";40;Livro FÌsico;228;1988;03/06/2018;08/06/2018; 5 ;PortuguÍs;lido;
O Misterioso Caso de Styles (Hercule Poirot, #1);Agatha Christie;"=""9724130495""";"=""9789724130491""";40;Livro FÌsico;192;1920;02/06/2018;03/06/2018; 1 ;PortuguÍs;lido;
Guia Politicamente Incorreto da HistÛria do Mundo;Leandro Narloch;"=""8580448409""";"=""9788580448405""";30;Livro FÌsico;352;2013;31/05/2018;02/06/2018; 2 ;PortuguÍs;lido;
